course_id,coupon_type,coupon_code,start_date,start_time,custom_price
1671594,custom_price,1671594-0000,2022-09-07,0:00,min
2610106,custom_price,2610106-0000,2022-09-07,0:00,min
2849846,custom_price,2849846-0000,2022-09-07,0:00,min
3773258,custom_price,3773258-0000,2022-09-07,0:00,min
3995592,custom_price,3995592-0000,2022-09-07,0:00,min
4008910,custom_price,4008910-0000,2022-09-07,0:00,min
4551180,custom_price,4551180-0000,2022-09-07,0:00,min
4577888,custom_price,4577888-0000,2022-09-07,0:00,min
